label,max_temp,min_temp,max_wind_speed,min_wind_speed,precipitation_sum,par_total,root_zone_soil_wetness,surface_soil_wetness,humidity,earth_skin_temp
Tungro,43.3839,7.3069,7.7352,0.0527,36.4837,7.5,0.4466,0.377,7.091,22.8763
Leaf-folder Injury,37.8191,7.1936,4.0691,0.0229,347.3222,7.5274,0.5532,0.5447,10.8723,22.1471
Leaf-folder Injury,38.2703,9.0827,4.4407,0.0921,249.2353,7.9632,0.4525,0.4268,9.9792,23.8427
Scald,40.9296,7.1226,4.8594,0.0213,409.1561,7.6134,0.6621,0.6502,10.8459,22.4847
Blast,38.2257,7.7186,4.5619,0.0619,386.0362,8.1558,0.4847,0.4806,9.6664,22.2937
Blast,44.3785,6.7689,8.3137,0.0458,123.4065,6.7623,0.4637,0.4393,7.908,21.974
Healthy,42.7471,8.2888,5.4093,0.0628,72.9876,7.4997,0.4354,0.3534,7.7298,25.0287
Scald,40.7898,5.4519,7.7612,0.0223,133.2999,7.5858,0.4223,0.3736,7.2993,22.3688
Stripes,40.8013,7.7824,5.5758,0.1364,141.5325,7.8206,0.4933,0.378,9.6072,25.2852
Leaf-folder Injury,36.5698,9.5826,1.3634,0.0204,132.6219,8.5907,0.431,0.4043,8.9832,22.048
Insect Infestation,40.8322,5.4187,7.6135,0.0198,113.1768,7.5364,0.4191,0.3666,7.2106,22.4081
Tungro,42.7052,7.0686,7.5351,0.0092,65.0249,7.4263,0.4112,0.3412,7.3545,23.3589
Blast,40.8981,5.6264,7.7573,0.0185,121.7444,7.5874,0.419,0.3665,7.1916,22.4335
Scald,39.0804,8.1927,5.4936,0.0143,225.9786,7.7075,0.5192,0.4629,10.273,24.8484
Blast,38.2449,7.8834,4.8831,0.0643,360.2868,8.2014,0.5036,0.4791,9.552,22.1105
Healthy,40.9641,5.5689,7.4735,0.0191,129.2249,7.5761,0.4179,0.3722,7.3007,22.434
Tungro,36.5714,7.8086,1.4523,0.0118,130.3816,8.0793,0.4672,0.4623,10.1843,21.585
Healthy,41.01,5.5778,7.6487,0.0201,128.8804,7.6044,0.4201,0.3698,7.3052,22.4793
Blast,37.1382,7.7004,3.9892,0.0531,375.897,7.9109,0.52,0.4904,10.2678,22.5441
Stripes,38.3058,8.0072,3.9306,0.0285,425.4042,7.6525,0.4468,0.4453,10.1111,22.7435
Healthy,37.9023,11.4733,5.8997,0.0517,137.3543,7.9543,0.5094,0.4887,13.0426,24.6512
Blast,41.4332,5.6734,6.094,0.051,85.8651,7.9636,0.5294,0.4306,9.7025,24.9265
Blast,42.8516,7.0129,6.3565,0.075,56.68,8.1527,0.502,0.3693,8.5786,25.1575
Healthy,44.4599,7.7644,5.3142,0.1231,42.8646,8.0457,0.5112,0.393,9.4844,25.642
Leaf-folder Injury,36.9196,7.5596,3.6294,0.0527,390.5156,7.9227,0.5071,0.5049,10.298,22.5903
Stripes,44.6545,5.4841,5.5069,0.0393,52.5981,7.4876,0.4402,0.3678,6.9576,23.4947
Blast,37.3076,10.6494,7.3993,0.0433,156.7738,6.8599,0.4974,0.4696,13.7861,25.1784
Blast,41.3467,5.6814,7.9091,0.0187,130.4988,7.614,0.4162,0.3685,7.42,22.4972
Tungro,40.9464,5.5997,7.6926,0.0181,116.3755,7.5586,0.4149,0.3668,7.2076,22.2475
Healthy,43.8498,6.6311,6.2684,0.0915,62.4598,7.386,0.4627,0.4004,7.8322,24.0605
Scald,33.472,9.0219,1.5114,0.017,745.4173,7.9297,0.5524,0.592,11.8667,21.2954
Blast,35.8754,10.8514,6.1292,0.0386,116.6749,8.1296,0.5055,0.4836,11.8433,23.9399
Healthy,36.9474,8.1713,4.728,0.0052,457.8912,7.4496,0.57,0.5889,11.4284,21.9102
Leaf-folder Injury,37.4475,7.2161,4.0713,0.0235,349.6839,7.5841,0.5542,0.5474,10.8366,22.1677
Tungro,43.845,6.7296,8.972,0.039,103.1711,6.87,0.3969,0.3359,7.2699,24.8032
Healthy,40.6514,7.1544,5.0149,0.0196,394.5509,7.5119,0.6578,0.6379,11.1309,22.487
Healthy,36.9751,7.4848,3.6851,0.0531,406.64,7.9046,0.504,0.5066,10.0096,22.6928
Stripes,40.9656,6.7682,5.3667,0.0472,152.2694,7.3851,0.4608,0.4138,8.5147,24.1682
Scald,41.0965,5.4812,7.7078,0.0196,127.8173,7.6113,0.4184,0.3727,7.3955,22.3567
Leaf-folder Injury,42.263,6.6304,5.8799,0.0218,78.1747,7.0883,0.4908,0.4512,8.3793,23.1026
Insect Infestation,43.2574,2.1516,6.6944,0.0236,85.5598,7.511,0.4341,0.3541,7.1186,23.9295
Leaf-folder Injury,38.6066,7.4394,4.663,0.0417,396.3433,7.1409,0.5974,0.6182,11.1876,21.6705
Blast,38.3189,7.803,4.8573,0.0602,382.5805,8.2346,0.4868,0.4598,9.6889,22.0825
Healthy,38.195,10.5462,6.7062,0.1045,49.2486,7.6354,0.5396,0.4894,12.6963,24.4351
Healthy,40.6498,6.3086,7.178,0.0146,102.5309,7.3237,0.4304,0.3935,7.9068,22.1692
Blast,43.1896,2.5252,7.0318,0.0213,83.2757,7.4365,0.4354,0.3473,7.2023,23.8881
Blast,36.735,10.1905,6.3349,0.0116,198.5292,7.6816,0.4498,0.3965,12.1297,24.7715
Tungro,46.4705,6.1474,6.9538,0.0389,154.4174,6.4612,0.5324,0.5014,8.5484,22.9532
Blast,38.9077,6.324,6.8837,0.0107,85.5724,7.2172,0.4271,0.4005,7.9799,22.2762
Blast,42.9291,6.7588,7.3476,0.0074,65.586,7.4613,0.4059,0.3374,7.35,23.562
Scald,40.4101,6.4053,7.0367,0.0185,100.9039,7.3286,0.4282,0.3945,7.8977,22.3497
Healthy,35.9495,5.6347,1.3024,0.0151,344.878,7.881,0.5269,0.5532,11.3505,21.1548
Leaf-folder Injury,36.2689,8.1473,0.866,0.0088,297.4124,7.812,0.5288,0.5443,10.5052,20.8066
Scald,44.5386,6.2995,8.0381,0.0407,122.4887,6.7929,0.469,0.4373,7.9155,22.196
Scald,38.3456,10.4805,5.9521,0.0835,45.1537,8.0625,0.4801,0.4389,12.4713,25.2379
Leaf-folder Injury,40.7662,5.6133,7.7094,0.0203,126.747,7.6119,0.4213,0.3635,7.3112,22.3626
Healthy,42.6719,6.3041,7.5918,0.0058,67.2746,7.51,0.4027,0.344,7.4307,23.4829
Healthy,43.7262,7.03,9.1103,0.0396,104.5779,6.9603,0.4001,0.3391,7.2618,24.7625
Blast,39.715,7.606,7.3244,0.0501,155.0999,7.5025,0.4076,0.3754,8.5815,23.2359
Blast,36.8385,10.3314,5.8323,0.0485,170.3723,7.9046,0.4643,0.4341,11.9303,24.1464
Scald,41.0258,5.6219,7.7798,0.0202,114.5437,7.6523,0.4145,0.3665,7.2855,22.235
Tungro,41.6001,6.1335,6.4806,0.0423,77.4558,7.5878,0.3557,0.268,5.8778,22.8706
Scald,38.8443,5.5121,4.5735,0.0396,274.9745,7.6935,0.6139,0.5738,10.9763,23.3106
Blast,42.1977,6.7025,4.8335,0.0661,33.8429,7.0071,0.4948,0.444,8.2143,23.9078
Blast,41.2105,5.6336,7.8872,0.0211,133.2213,7.6076,0.4134,0.3683,7.2511,22.4423
Healthy,40.9814,5.558,7.8457,0.0214,114.9433,7.5815,0.4184,0.3709,7.3931,22.4725
Tungro,33.5952,6.4515,4.0515,0.0255,604.1554,7.381,0.6872,0.697,12.2639,21.2168
Leaf-folder Injury,39.7675,5.3025,5.7836,0.1303,319.5171,7.7195,0.5657,0.5007,11.2354,24.4353
Scald,43.7975,7.179,9.1323,0.0371,100.8023,6.9422,0.3965,0.3354,7.2996,24.8073
Scald,44.1794,7.3145,6.2652,0.031,119.8514,6.8526,0.4534,0.3926,8.5433,25.5262
Blast,41.8706,5.525,6.3079,0.0575,107.7793,8.0226,0.5327,0.4373,9.9141,24.7364
Tungro,41.6581,6.1171,6.3082,0.0391,76.3754,7.5664,0.354,0.2636,5.8517,22.9299
Leaf-folder Injury,47.3927,7.7764,5.1888,0.0362,148.7714,7.0088,0.5859,0.5321,10.5997,24.6506
Healthy,33.5556,6.2593,4.0934,0.033,635.1117,7.4537,0.682,0.7142,12.4291,21.3434
Blast,37.2858,8.0429,1.7518,0.0067,88.0813,7.8356,0.4088,0.3265,9.4752,22.2494
Stripes,41.195,5.661,7.8703,0.0171,133.4308,7.564,0.4142,0.3682,7.2648,22.3477
Blast,40.8462,5.6717,7.7079,0.0208,117.6488,7.63,0.4178,0.369,7.2455,22.439
Blast,40.9804,5.3736,7.7602,0.0187,126.4382,7.5869,0.4196,0.366,7.2734,22.4734
Tungro,41.2795,5.5815,7.5903,0.0192,134.084,7.6062,0.4178,0.3676,7.3293,22.3172
Blast,40.6099,6.549,7.2194,0.0071,103.8267,7.3138,0.4235,0.387,7.8723,22.3223
Insect Infestation,43.105,1.5168,8.1945,0.0113,105.819,7.6334,0.4006,0.3179,6.4955,23.2772
Healthy,39.0169,5.8718,5.7967,0.022,226.1059,6.8044,0.5788,0.5801,10.0129,21.388
Blast,44.6829,5.1652,5.62,0.0412,55.9699,7.4834,0.4478,0.3661,6.7498,23.3479
Stripes,37.2827,6.8637,5.9862,0.0618,150.2012,7.7617,0.5041,0.5038,10.168,22.7721
Leaf-folder Injury,38.3272,7.5302,1.3122,0.0093,173.397,7.6175,0.4718,0.4718,10.0951,21.7624
Scald,38.3358,9.8925,6.3835,0.0127,201.6197,7.6098,0.446,0.3943,12.0104,24.7901
Stripes,37.4656,7.3323,3.841,0.0586,372.1523,7.9304,0.5266,0.5138,10.1683,22.4389
Healthy,43.6502,7.5455,4.7966,0.0676,38.2292,7.4895,0.5324,0.4077,9.5474,25.7851
Scald,39.26,7.9249,7.8671,0.0541,155.3524,7.5289,0.408,0.3744,8.5962,23.0737
Healthy,35.0578,10.7667,5.3659,0.1145,498.8368,7.4383,0.6682,0.6534,12.6843,22.5747
Scald,35.7356,11.1831,5.5674,0.102,229.381,7.8458,0.4678,0.4395,11.8649,24.57
Leaf-folder Injury,37.6534,7.4256,3.7598,0.0201,304.4337,7.537,0.5503,0.5492,11.113,22.129
Healthy,41.4656,6.7731,8.7574,0.0144,63.2822,7.4397,0.4565,0.4256,7.9671,22.8732
Healthy,39.316,7.0334,3.5058,0.0107,228.9623,7.7335,0.5394,0.5334,10.5425,22.0421
Scald,44.4256,7.3854,6.7593,0.1528,78.6406,7.9988,0.4939,0.3616,10.141,26.2233
Healthy,38.7363,8.0167,3.8163,0.0271,409.4078,7.624,0.4532,0.4434,10.1477,22.7376
Blast,37.7128,8.8117,1.4194,0.0133,93.8474,8.1325,0.422,0.3622,9.0778,22.6812
Healthy,39.4741,7.924,5.6684,0.0094,217.2704,7.7819,0.5187,0.4422,10.4513,24.858
Blast,39.1598,7.2082,7.5488,0.0505,167.2373,6.8321,0.4101,0.3825,8.3003,23.8727
Blast,43.6318,6.6634,6.5293,0.0955,60.2977,7.3517,0.4646,0.3975,7.8687,24.5301
Insect Infestation,37.149,8.8333,4.54,0.0304,463.9121,7.3981,0.5136,0.5172,11.1738,23.045
Scald,42.9218,7.1813,5.5714,0.1062,146.8054,9.0375,0.5,0.4111,10.1481,25.2369
Stripes,43.6334,7.8395,8.1147,0.0479,37.7734,7.397,0.439,0.3746,6.9954,23.0513
Scald,38.894,7.5707,6.1215,0.0202,62.9414,8.0223,0.4427,0.3701,11.0955,24.4975
Leaf-folder Injury,44.3339,6.4755,8.0236,0.042,125.5141,6.7888,0.4634,0.4358,7.9008,21.839
Healthy,43.3882,7.7936,8.1086,0.0502,35.8861,7.4211,0.4407,0.3869,7.1457,23.1223
Blast,44.6467,6.6209,8.0092,0.0372,127.8094,6.7618,0.4641,0.4392,7.9061,22.0492
Blast,38.6737,8.0916,4.8147,0.0632,499.0453,7.6972,0.5104,0.4817,11.2296,23.2403
Stripes,40.0234,6.4833,7.7375,0.0458,169.9247,6.9856,0.4135,0.3758,8.7915,24.0938
Insect Infestation,41.015,5.3434,7.883,0.0217,127.8404,7.5628,0.4192,0.3688,7.4598,22.3184
Blast,44.0334,7.3981,9.1736,0.0405,104.3201,6.9137,0.4003,0.3383,7.2762,24.7458
Stripes,37.7875,5.2925,4.2685,0.078,350.078,7.1569,0.561,0.5617,9.8865,21.7346
Stripes,43.4083,2.2057,6.6659,0.0181,87.6435,7.4855,0.4366,0.3513,7.1523,24.0686
Healthy,33.8171,9.112,1.409,0.0147,692.1088,7.9239,0.562,0.6024,11.9079,21.1856
Tungro,39.0295,6.1364,7.054,0.0117,84.73,7.2028,0.4317,0.3973,7.9555,22.2384
Healthy,43.4359,7.675,7.8515,0.0505,34.6956,7.4626,0.4353,0.3747,7.0976,22.9127
Scald,43.2935,1.5464,8.5384,0.0086,109.8487,7.6037,0.4031,0.3209,6.5427,23.1674
Scald,37.5795,5.038,4.4972,0.0791,282.718,7.1163,0.5685,0.5677,10.0729,21.9082
Stripes,39.2127,6.2562,5.4649,0.0429,198.9312,6.8531,0.4492,0.3996,9.4769,24.4378
Tungro,40.2584,5.9941,6.6328,0.0174,59.9572,7.1703,0.411,0.3773,7.6873,22.6144
Blast,37.1624,7.1518,3.9486,0.0202,348.2319,7.5405,0.5507,0.5614,10.9594,22.0811
Blast,44.1822,6.5839,6.6105,0.1082,66.8077,7.3666,0.4646,0.398,7.8166,24.2649
Healthy,38.146,10.0673,6.0854,0.0797,43.5809,8.0403,0.4737,0.4255,12.4571,24.7937
Healthy,42.634,7.613,5.7669,0.0812,116.4411,7.9105,0.5516,0.4929,10.5111,24.007
Tungro,42.3063,6.6685,5.9267,0.0835,91.4425,7.4293,0.4402,0.3682,8.1824,24.241
Healthy,41.0564,5.729,7.5665,0.0175,136.692,7.6116,0.4168,0.3714,7.2518,22.3654
Leaf-folder Injury,40.8052,5.6393,7.7028,0.0208,141.0811,7.6268,0.4187,0.3747,7.2095,22.3933
Leaf-folder Injury,35.8418,7.9064,1.472,0.006,297.2746,7.7695,0.537,0.5532,10.5094,20.7377
Insect Infestation,41.0703,5.5752,7.7397,0.0206,113.0051,7.6349,0.4194,0.3723,7.3691,22.3984
Scald,39.4369,7.0937,7.4932,0.0496,172.328,6.8501,0.4168,0.3724,8.7999,24.0309
Tungro,40.9077,5.6526,7.7814,0.0205,131.477,7.5946,0.4175,0.3694,7.2635,22.3346
Healthy,37.2266,5.0114,4.6434,0.0792,298.8402,7.0766,0.5597,0.5644,10.0205,21.6228
Scald,38.9026,6.1834,6.9751,0.001,84.8343,7.173,0.4329,0.399,7.9519,22.0478
Healthy,40.8642,5.5257,7.7413,0.0194,121.6143,7.5827,0.4202,0.3746,7.3737,22.3494
Tungro,43.88,7.52,5.42,0.03,132.93,7.635,0.6175,0.5625,11.4525,24.1375
Tungro,40.0314,5.5998,6.1932,0.0817,115.4887,7.0185,0.4432,0.3696,8.1573,23.9908
Healthy,35.312,10.1319,1.2154,0.0136,266.6529,7.8041,0.4545,0.4443,10.337,22.1105
Tungro,33.555,8.9681,1.3683,0.0176,745.5241,7.8991,0.5555,0.5955,11.9915,20.9767
Scald,40.3001,7.7296,8.1049,0.0212,106.4414,7.0402,0.4438,0.4094,7.6936,22.7846
Stripes,47.1083,7.4612,5.2534,0.0235,149.3377,6.984,0.5843,0.5194,10.51,24.7714
Healthy,42.9426,7.588,5.7632,0.0852,122.5781,7.0348,0.5433,0.5142,10.5414,23.4291
Stripes,37.8611,7.1141,3.9144,0.0161,339.1889,7.5499,0.5447,0.5559,10.7156,22.1906
Blast,41.0349,5.619,7.5749,0.0191,116.2124,7.5704,0.4234,0.3747,7.2971,22.3976
Insect Infestation,37.1724,6.4461,6.3057,0.0435,327.8623,7.0908,0.5271,0.4941,9.3952,21.0934
Healthy,38.9857,7.2422,4.1478,0.0419,429.4043,7.6558,0.4824,0.4671,10.0624,22.1565
Blast,40.8306,5.746,7.6178,0.0233,135.0599,7.583,0.4194,0.3701,7.3283,22.4094
Stripes,41.4504,6.3705,8.9933,0.0092,61.172,7.2763,0.4488,0.4243,8.2254,22.6914
Scald,40.7153,5.7825,7.7204,0.0173,123.8074,7.5768,0.4141,0.3677,7.3761,22.4244
Blast,40.8076,9.9859,5.794,0.0416,25.9878,7.8805,0.4609,0.4028,11.9747,24.6019
Healthy,32.8064,8.361,4.6784,0.0659,1333.9936,7.4021,0.6745,0.6974,12.2177,21.8283
Blast,32.9751,8.2718,4.52,0.0679,1356.955,7.3626,0.6811,0.6897,12.3783,21.8492
Blast,36.2644,8.0316,1.2821,0.0135,279.6336,7.8001,0.529,0.5556,10.5834,20.5904
Blast,42.6733,6.7201,5.7939,0.0182,83.0172,7.0412,0.4883,0.4477,8.6257,23.243
Insect Infestation,37.771,7.3458,1.4862,0.0121,77.5848,8.4871,0.4114,0.3501,9.1793,22.4091
Stripes,42.5848,6.5764,7.3108,0.0112,66.5892,7.4238,0.4155,0.3369,7.5875,23.4831
Tungro,42.1496,7.5119,5.1773,0.0684,90.8034,7.0791,0.4298,0.3618,8.6787,24.3858
Blast,37.9557,8.8374,1.1011,0.0152,82.0943,8.2138,0.4161,0.364,9.255,22.5336
Scald,37.7716,4.9217,4.5586,0.0759,301.3318,7.1452,0.5708,0.5669,9.8642,21.8125
Blast,38.4595,7.9625,4.9145,0.0657,435.0908,7.7222,0.4976,0.4995,11.1381,23.1631
Blast,37.8164,9.4494,1.5216,0.011,228.0102,7.9836,0.4711,0.4635,10.0483,22.129
Healthy,39.2586,6.2825,5.6202,0.0334,235.2726,6.9007,0.5884,0.5947,9.9039,21.8272
Insect Infestation,36.7022,9.883,5.7447,0.0111,196.7435,7.6331,0.4462,0.401,12.1949,24.7623
Insect Infestation,37.3253,6.5276,6.6552,0.0389,309.2539,7.0775,0.5209,0.5012,9.5024,20.9623
Blast,33.6464,9.3061,1.2334,0.0158,725.3944,7.8932,0.5537,0.5972,11.5989,21.2305
Blast,36.8654,10.4136,6.1514,0.0126,198.2741,7.5977,0.4532,0.3928,12.1739,24.7687
Healthy,42.7294,6.8703,7.6142,0.0079,67.1498,7.4474,0.4059,0.3427,7.4889,23.4013
Tungro,36.8689,8.2824,1.4641,0.0069,129.2934,8.054,0.4679,0.4574,9.977,21.5584
Insect Infestation,35.6814,8.3592,5.1903,0.0362,379.9923,7.5516,0.5379,0.5374,11.3931,22.764
Blast,37.5942,7.7776,1.4318,0.0091,56.6333,8.3124,0.4786,0.4633,9.7933,21.935
Blast,36.8281,9.1904,1.0478,0.0249,145.508,8.138,0.4285,0.3884,10.4278,22.8371
Leaf-folder Injury,40.9193,5.5981,7.5475,0.0162,121.8858,7.5788,0.4177,0.3684,7.2718,22.3146
Blast,41.4105,9.8219,7.4117,0.079,85.628,7.5649,0.4118,0.3669,7.6239,23.4612
Healthy,41.6364,8.3257,6.0462,0.036,93.7415,7.2207,0.4771,0.4357,9.7871,24.574
Scald,43.5177,6.7424,6.5514,0.1002,61.6365,7.312,0.4662,0.3905,7.8249,24.383
Leaf-folder Injury,40.6312,7.6054,8.1162,0.0186,103.0105,7.0477,0.4452,0.4091,7.7037,22.658
Tungro,35.7136,8.199,5.3107,0.0406,412.2644,7.5317,0.5384,0.5347,11.5981,22.3223
Healthy,40.1215,10.0467,5.6257,0.0056,78.7998,7.84,0.5154,0.4698,12.4572,23.7931
Leaf-folder Injury,44.7871,6.8235,8.2058,0.0477,125.5986,6.7687,0.4649,0.4368,7.8954,22.032
Insect Infestation,38.8492,6.2934,6.891,0.0097,85.3618,7.1962,0.4288,0.3948,7.9702,22.2663
Tungro,38.8469,7.7535,4.2676,0.0299,419.2392,7.593,0.4564,0.4334,10.1545,22.7555
Scald,36.2578,8.3444,5.5299,0.0364,409.3309,7.576,0.5326,0.5387,11.4555,22.5295
Healthy,41.0903,9.8993,7.4021,0.0765,87.029,7.609,0.4117,0.3558,7.6293,23.3981
Blast,41.1148,5.5038,6.4252,0.0669,96.9504,7.9858,0.5267,0.4553,10.1688,25.0743
Stripes,42.6908,6.8976,7.5372,0.01,64.6422,7.5041,0.4112,0.3412,7.386,23.5144
Stripes,42.5378,7.0488,5.8919,0.0222,165.522,6.9842,0.4595,0.431,8.4716,22.8179
Insect Infestation,40.8625,5.5716,7.8834,0.0218,131.1385,7.5891,0.4182,0.3738,7.2029,22.3128
Stripes,37.2957,8.1016,1.3553,0,86.9331,7.7283,0.407,0.3314,9.7005,22.2701
Scald,43.1446,1.8282,8.2559,0.0116,105.599,7.6311,0.391,0.3255,6.4635,23.1492
Blast,41.012,5.5735,7.7166,0.0205,107.2294,7.5805,0.4177,0.3665,7.3021,22.3374
Healthy,36.4676,8.2909,1.0191,0.0121,126.8548,8.1884,0.4698,0.4596,10.0212,21.5648
Blast,37.0949,8.3459,1.6505,0,83.5054,7.9,0.4042,0.3348,9.7325,22.3097
Scald,41.3683,10.0349,7.339,0.0798,89.5792,7.6532,0.4124,0.3617,7.6315,23.2409
Scald,42.6702,6.9127,7.557,0.006,66.204,7.5025,0.4034,0.3442,7.5072,23.4472
Blast,41.1575,9.9393,7.5219,0.0809,87.9983,7.5151,0.4106,0.367,7.6807,23.273
Insect Infestation,42.7931,7.4653,5.5006,0.0815,125.4557,7.9233,0.5541,0.4988,10.4492,24.1238
Blast,38.3719,8.1963,5.7101,0.0027,218.479,7.8567,0.5214,0.4524,10.3903,25.1278
Blast,36.7873,7.4552,1.2611,0.004,277.7587,7.845,0.4356,0.4109,9.493,21.8615
Healthy,37.0047,10.0279,6.0686,0.0866,165.6448,8.8856,0.474,0.4331,12.0649,24.0427
Scald,44.0601,6.5688,6.5646,0.0987,59.6596,7.4249,0.465,0.3892,7.8437,24.1863
Stripes,40.925,5.5687,7.6356,0.0178,135.2446,7.5953,0.4208,0.3726,7.3232,22.5062
Healthy,36.7324,10.1236,6.1176,0.0051,200.516,7.6754,0.447,0.3947,11.9165,24.8852
Blast,37.278,8.5143,4.1921,0.042,461.0788,7.4741,0.5234,0.513,11.2366,22.9142
Blast,37.667,9.4889,1.5876,0.0067,203.2507,8.3725,0.478,0.4798,10.2057,21.8005
Scald,33.6603,6.2915,3.8783,0.038,609.889,7.4686,0.6849,0.7069,12.2993,21.4229
Healthy,36.935,7.429,1.5053,0.0001,239.0893,7.8999,0.4383,0.4145,9.4835,21.8883
Blast,41.6462,7.0226,5.2119,0.0466,155.5669,7.4781,0.4614,0.4137,8.6839,24.2232
Blast,44.4528,6.7296,8.0514,0.0354,128.4364,6.763,0.4634,0.4357,7.8815,22.1887
Scald,41.8969,8.4023,6.1099,0.0383,106.1389,7.995,0.4943,0.3639,9.0598,25.2705
Blast,41.5285,8.3952,6.1765,0.0391,98.1751,7.2289,0.4738,0.4376,9.5956,24.583
Leaf-folder Injury,42.5596,6.6257,7.1856,0.0089,66.3865,7.4635,0.4011,0.336,7.4887,23.3138
Scald,43.0034,8.0001,4.2321,0.0389,234.2312,7.0482,0.5479,0.4631,10.4089,24.8775
Scald,42.6997,5.603,5.4943,0.0849,155.2286,8.5067,0.4686,0.4213,8.0047,23.2047
Tungro,41.1,6.24,4.65,0.07,255.23,8.0325,0.5,0.48,9.12,22.07
Insect Infestation,39.5171,5.77,5.7936,0.0365,220.6164,6.8431,0.591,0.5889,10.0325,21.5781
Healthy,41.5179,10.0769,7.3136,0.08,89.7652,7.5085,0.4126,0.3628,7.6606,23.5388
Scald,40.9443,5.5068,7.7744,0.0195,118.4365,7.6062,0.4177,0.3756,7.3567,22.3287
Healthy,42.8792,6.4357,6.2503,0.0242,77.9005,7.4048,0.5143,0.462,9.1822,23.4694
Blast,42.3213,8.6194,5.8281,0.0435,96.9808,8.0928,0.4839,0.3709,9.6227,25.214
Tungro,43.4609,7.925,6.3313,0.051,146.7924,6.9899,0.5048,0.4063,10.8895,26.8726
Leaf-folder Injury,37.5316,7.7615,1.5862,0.0118,167.7153,7.6385,0.4698,0.4685,10.3219,21.8821
Healthy,43.8551,7.0167,9.1362,0.0424,103.8059,6.9557,0.397,0.3414,7.3081,24.6513
Blast,41.4722,6.7268,6.3426,0.0262,167.522,8.8364,0.4418,0.4035,6.8938,21.4389
Blast,37.8316,7.276,4.1354,0.0233,349.2681,7.5394,0.5446,0.5693,10.6966,22.0545
Healthy,38.7058,8.2684,6.919,0.0544,152.9524,7.5507,0.4133,0.3723,8.9225,23.3331
Blast,43.8403,7.2528,9.3384,0.0399,99.8785,6.8967,0.3999,0.3412,7.2128,24.707
Scald,43.9509,7.6926,5.4952,0.0269,135.6847,7.6669,0.6193,0.5453,11.5789,24.0523
Healthy,43.7976,7.2097,9.1706,0.0392,104.7976,6.9376,0.3952,0.347,7.2818,24.7638
Healthy,42.7657,7.2568,5.5911,0.1036,134.096,9.0634,0.507,0.4032,9.9892,25.1387
Insect Infestation,41.1305,5.7847,7.7056,0.0195,119.1207,7.5787,0.4196,0.3762,7.2296,22.4999
Stripes,41.066,5.6226,7.63,0.0192,128.696,7.6115,0.4147,0.3706,7.3177,22.4258
Insect Infestation,43.8324,6.4323,6.4096,0.0975,66.2586,7.3439,0.4617,0.3961,7.8332,24.2573
Tungro,38.5691,10.3809,6.6843,0.0989,58.2427,7.5478,0.5294,0.5132,12.7186,24.3058
Stripes,38.4584,7.6703,4.7255,0.0538,361.3082,8.1871,0.5004,0.4616,9.7853,22.3368
Tungro,40.8897,5.5378,7.6698,0.0189,132.1546,7.5879,0.4154,0.3728,7.3031,22.3874
Blast,37.2301,8.8446,4.5559,0.0409,471.5377,7.4929,0.5199,0.5156,11.0008,22.9172
Scald,38.7562,6.8006,4.0544,0.0392,402.7357,7.5597,0.4943,0.4713,9.9396,22.1303
Tungro,37.3411,8.018,4.7773,0.0098,464.9879,7.4552,0.5714,0.5837,11.5674,21.7114
Blast,36.1423,6.5492,3.5759,0.0854,378.2125,7.7536,0.559,0.5606,10.8056,21.2643
Scald,38.984,7.1345,4.0097,0.0198,273.061,7.8735,0.5707,0.56,11.0557,22.3508
Blast,42.5923,6.8822,7.491,0.0101,66.792,7.4524,0.4084,0.3348,7.5415,23.4922
Scald,42.9698,9.158,5.2309,0.0322,121.595,8.2111,0.5076,0.3978,10.661,25.985
Tungro,41.4634,6.4693,6.6431,0.0427,81.3533,7.5932,0.3558,0.2582,5.7631,22.9729
Scald,36.2856,8.2264,1.0739,0.0088,337.6046,7.8168,0.5285,0.5491,10.6952,20.7457
Insect Infestation,40.4655,5.1295,4.9332,0.045,256.2612,6.9984,0.4862,0.4709,9.7696,23.7396
Tungro,41.3493,6.2851,6.7818,0.0153,159.5851,8.7809,0.4394,0.4045,7.186,21.4069
Insect Infestation,37.2759,7.085,3.525,0.0461,421.8571,7.8881,0.5195,0.5071,10.0531,22.6228
Blast,39.6546,6.0239,4.8834,0.0511,489.4407,7.5465,0.5339,0.5278,10.9025,22.2235
Insect Infestation,43.413,1.8273,6.9334,0.0196,80.7123,7.4641,0.44,0.3441,7.1012,23.9168
Leaf-folder Injury,38.6354,6.7699,1.4203,0.0316,94.7653,8.4023,0.4185,0.3598,8.2045,21.9525
Leaf-folder Injury,39.9661,4.3928,5.1257,0.0757,185.7899,7.9159,0.4842,0.4563,10.1296,23.1906
Blast,42.5504,7.4444,5.799,0.1062,133.9996,9.0105,0.505,0.4124,9.7881,25.4324
Healthy,42.6617,7.8188,5.3791,0.0898,134.8079,6.9039,0.5332,0.5082,10.3388,23.7141
Scald,43.365,2.5138,6.8006,0.0204,80.1034,7.4635,0.4332,0.3455,7.1195,23.7284
Scald,41.2024,5.5961,7.6023,0.0201,122.131,7.5548,0.421,0.371,7.2822,22.4215
Blast,35.526,11.1898,5.9222,0.1006,230.7902,7.6193,0.4602,0.4235,11.8139,24.4416
Tungro,41.67,6.4385,5.4402,0.051,150.9035,7.4713,0.4597,0.4044,8.5324,24.2915
